City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
103630,Najrān,20,SA,1597839622,12,17.49,44.13,105.8,9.17
261814,Ierapetra,0,GR,1597839623,70,35.01,25.74,84.2,4.7
2162662,Inverell,17,AU,1597839623,45,-29.78,151.12,51.01,5.99
143073,Ardakān,20,IR,1597839623,15,32.31,54.02,102.2,4.7
189741,Lamu,58,KE,1597839623,69,-2.27,40.9,80.31,13.73
2639912,Preston,40,GB,1597839624,82,53.77,-2.72,69.01,10.29
2457161,Gao,65,ML,1597839624,40,16.64,1.64,93.47,10.13
863061,Usinsk,100,RU,1597839624,69,65.99,57.53,64.9,13.15
5484874,Portales,1,US,1597839624,63,34.19,-103.33,66.99,3.36
4499379,Wilmington,75,US,1597839134,94,34.23,-77.94,75.99,2.3
5849996,Lahaina,1,US,1597839625,65,20.88,-156.68,77.0,12.75
1524296,Esil,43,KZ,1597839625,50,51.96,66.4,62.33,18.61
3883457,Lebu,0,CL,1597839625,74,-37.62,-73.65,42.35,12.01
64814,Bandarbeyla,40,SO,1597839625,56,9.49,50.81,86.0,29.44
3405051,Borba,0,BR,1597839625,54,-4.39,-59.59,84.45,2.04
4026082,Lázaro Cárdenas,98,MX,1597839625,82,17.96,-102.2,75.04,3.22
5859699,College,75,US,1597839626,76,64.86,-147.8,55.4,4.7
1489822,Tegul'det,59,RU,1597839626,76,57.31,88.17,67.35,3.91
4205615,Liberty,1,US,1597839626,94,31.83,-81.5,71.6,2.57
889215,Kariba,22,ZW,1597839545,36,-16.52,28.8,81.75,6.44
1529651,Altay,0,CN,1597839627,25,47.87,88.12,73.31,9.44
2208248,Kaitangata,59,NZ,1597839627,85,-46.28,169.85,48.0,1.34
503401,Pyshchug,0,RU,1597839627,44,58.89,45.71,60.24,9.93
2119283,Zyryanka,78,RU,1597839627,66,65.75,150.85,50.81,11.9
5954718,Flin Flon,75,CA,1597839627,93,54.77,-101.86,59.0,5.82
